timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,programs,mountd_port,exports,sector
09/02/2017 06:50,192.168.32.66,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Information Technology
09/02/2017 06:05,192.168.32.77,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 2 111/udp; 100000 2 111/udp; 100024 1 43940/udp; 100024 1 53569/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 53925/udp; 100021 3 53925/udp; 100021 4 53925/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 36316/udp; 100021 3 36316/udp; 100021 4 36316/udp; 100005 1 43180/udp; 100005 1 48933/udp; 100005 2 43180/udp; 100005 2 48933/udp; 100005 3 43180/udp; 100005 3 48933/udp;,43180,/home/DATABASES/abril_2008 192.168.32.109;/home/akai2 green.ceingebi.unam.mx;/home/merino black.ceingebi.unam.mx;/home/databases black.ceingebi.unam.mx;,Information Technology
09/02/2017 05:36,192.168.32.86,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 2 111/udp; 100000 2 111/udp; 100024 1 53500/udp; 100024 1 47167/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 59741/udp; 100021 3 59741/udp; 100021 4 59741/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 43413/udp; 100021 3 43413/udp; 100021 4 43413/udp; 100005 1 35007/udp; 100005 1 53962/udp; 100005 2 35007/udp; 100005 2 53962/udp; 100005 3 35007/udp; 100005 3 53962/udp;,35007,/home/gaceta 192.168.32.3;/home/bolivar 192.168.32.13 192.168.32.3;/home/morelos 192.168.32.3;,Information Technology
09/02/2017 05:38,192.168.32.120,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 43597/udp; 100024 1 42046/udp;,,,Information Technology
09/02/2017 07:12,192.168.32.135,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 2 111/udp; 100000 2 111/udp; 100024 1 53500/udp; 100024 1 47167/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 59741/udp; 100021 3 59741/udp; 100021 4 59741/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100003 4 2049/udp; 100021 1 43413/udp; 100021 3 43413/udp; 100021 4 43413/udp; 100005 1 35007/udp; 100005 1 53962/udp; 100005 2 35007/udp; 100005 2 53962/udp; 100005 3 35007/udp; 100005 3 53962/udp;,35007,/home/gaceta 192.168.32.3;/home/bolivar 192.168.32.13 192.168.32.3;/home/morelos 192.168.32.3;,Information Technology
09/02/2017 06:46,192.168.32.140,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 60292/udp; 100024 1 40487/udp;,,,Information Technology
09/02/2017 06:59,192.168.32.191,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 2 111/udp; 100000 2 111/udp; 100024 1 59644/udp; 100024 1 56670/udp;,,,Information Technology
09/02/2017 06:27,192.168.32.204,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 54894/udp; 100024 1 53211/udp;,,,Information Technology
09/02/2017 06:17,192.168.33.30,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 33812/udp; 100024 1 37486/udp;,,,Information Technology
09/02/2017 07:21,192.168.33.130,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp;,,,Information Technology
09/02/2017 06:12,192.168.34.9,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 32772/udp; 100024 1 32771/udp; 100011 1 32773/udp; 100001 2 32774/udp; 100001 3 32774/udp; 100001 4 32774/udp; 100083 1 32772/udp; 100221 1 32773/udp; 100068 2 32775/udp; 100068 3 32775/udp; 100068 4 32775/udp; 100068 5 32775/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100005 1 32779/udp; 100005 2 32779/udp; 100005 3 32779/udp; 100005 1 32775/udp; 100005 2 32775/udp; 100005 3 32775/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 1342177279 3 32970/udp; 1342177279 1 32970/udp; 1342177279 2 32970/udp;,32779,/export/home itzmana uxmal coba venus tulum copan itza;/export/home2 tikal;/d08 maya uxmal coba venus tulum copan itza pionera galadriel perla zeus labna xelha;/d09 uxmal coba venus tulum copan itza pionera galadriel perla zeus labna xelha;,Information Technology
09/02/2017 05:45,192.168.34.31,udp,111,,portmapper,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100000 4 111/udp; 100000 3 111/udp; 100000 2 111/udp; 100024 1 32778/udp; 100024 1 32775/udp; 100133 1 32778/udp; 100133 1 32775/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100021 1 4045/udp; 100021 2 4045/udp; 100021 3 4045/udp; 100021 4 4045/udp; 100005 1 32790/udp; 100005 2 32790/udp; 100005 3 32790/udp; 100005 1 32780/udp; 100005 2 32780/udp; 100005 3 32780/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp; 100003 2 2049/udp; 100003 3 2049/udp; 100227 2 2049/udp; 100227 3 2049/udp;,32790,/export/home0 cimi tikal itzamna uxmal tula muyal mixtli zazil;/export/home tikal itzamna itza copan zazil;/export/home2 tikal itzamna viajera dafne tula uxmal;/export/home3 tikal dafne;,Information Technology
