timestamp,ip,protocol,port,hostname,tag,header,asn,geo,region,city,systime,cache_control,location,server,search_target,unique_service_name,host,nts,nt,naics,sic,sector
09/02/2017 09:41,192.168.147.165,udp,49183,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age = 60,,Network Printer Server UPnP/1.0 2.50.00.99,upnp:rootdevice,uuid:Xerox-Printer-1_0-XRX0000AAF1251A::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:17,192.168.159.101,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Fri, 31 Dec 1999 16:10:35 GMT",max-age=1800,,Embedded UPnP/1.0,upnp:rootdevice,uuid:223d0e68-ba29-4555-1186-7e5a9d72ea26::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:14,192.168.172.201,udp,1900,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,,max-age=1810,,"POSIX, UPnP/1.0, MicroStack/1.0.3905",upnp:rootdevice,uuid:lifeline-lenovo-Soho-1000-00D0B8231D39::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:15,192.168.206.14,udp,37542,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:14:37 GMT",max-age=1800,,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.4.7",upnp:rootdevice,uuid:48343138-3638-3131-3439-8CE7481722A8::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:49,192.168.214.171,udp,50512,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:51:56 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039139::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:33,192.168.214.172,udp,47740,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:35:48 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039024::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 10:14,192.168.214.181,udp,55249,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 04:16:20 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488038970::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:14,192.168.214.186,udp,49144,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:16:48 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039079::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:13,192.168.214.187,udp,45028,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:15:43 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039201::upnp:rootdevice,,,,0,0,Information Technology
09/02/2017 09:44,192.168.214.193,udp,51974,,ssdp,HTTP/1.1 200 OK,278,MX,DISTRITO FEDERAL,MEXICO CITY,"Thu, 09 Feb 2017 03:46:15 GMT",max-age=3600,,"Linux/2.6.38.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.17",upnp:rootdevice,uuid:Upnp-DS-2CD2232-I5-1_0-488039064::upnp:rootdevice,,,,0,0,Information Technology
