timestamp,ip,protocol,port,hostname,asn,geo,region,city,version,clk_wander,clock,error,frequency,jitter,leap,mintc,noise,offset,peer,phase,poll,precision,processor,refid,reftime,rootdelay,rootdispersion,stability,state,stratum,system,tai,tc,naics,sic,sector
09/02/2017 03:25,192.168.253.126,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC465FB5.85805B7C,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465EDA.E4E928D4,0,0,,,2,UNIX,,9,0,0,Information Technology
09/02/2017 03:32,192.168.253.136,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xdc466156.ac9c56fd,,4.952,1.392,0,,1.081,-0.432,,,10,-10,unknown,192.167.169.17,0xdc465dcb.889c0702,0.977,31.572,0.036,4,2,UNIX,,,0,0,Information Technology
09/02/2017 04:28,192.168.253.139,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xdc466e5d.4e3f35f5,,4.934,1.15,0,,1.061,-0.853,,,10,-10,unknown,192.167.169.17,0xdc466dd5.aa8613d1,1.855,20.225,0.033,4,2,UNIX,,,0,0,Information Technology
09/02/2017 04:23,192.168.253.141,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC466D3B.8A0F9D3D,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC464C38.9A41D2B9,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:17,192.168.253.145,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC4679F7.949441EB,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC4675CC.B67859A1,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:54,192.168.253.149,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC467493.6D60BBF7,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:52,192.168.253.150,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4665EF.639858AC,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465942.BB9EC1CD,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:32,192.168.253.161,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466F5A.C7FD2B50,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:29,192.168.253.165,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xdc4660af.db082955,,4.952,1.392,0,,1.081,-0.432,,,10,-10,unknown,192.167.169.17,0xdc465dcb.889c0702,0.977,29.067,0.036,4,2,UNIX,,,0,0,Information Technology
09/02/2017 04:07,192.168.253.167,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xdc46695f.078671af,,4.985,0.977,0,,1.057,0.335,,,10,-10,unknown,192.167.169.17,0xdc4665d0.990c51d0,0.977,31.044,0.032,4,2,UNIX,,,0,0,Information Technology
09/02/2017 04:30,192.168.253.173,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC466ED1.B2E68DAF,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:42,192.168.253.189,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC4671C3.E3EEF1C1,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:39,192.168.253.193,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC467F08.4BEA421D,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC467DE5.BBF12F8A,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:52,192.168.253.197,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC468230.CD7C775E,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC467DE5.BBF12F8A,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:37,192.168.253.201,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC467080.4F58E550,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:01,192.168.253.205,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC467611.08DFF5FF,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC4675CC.B67859A1,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:58,192.168.253.209,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC467591.40D4CEEA,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:19,192.168.253.213,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC466C53.0C997586,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC464C38.9A41D2B9,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:16,192.168.253.222,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,,,0xdc465d8e.601b9735,,4.046,138.71,0,,,,5460039,,6,-18,,192.167.169.17,0xdc465d68.8a093532,20.898,223.156,0.002,4,2,,,,0,0,Information Technology
09/02/2017 04:23,192.168.253.226,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xDC466D29.5706412A,,-5.273,0.049,0,,0.258,-0.279,,,10,-24,unknown,192.167.169.17,0xDC46692A.388BF373,24.048,30.802,0.009,4,2,UNIX,,,0,0,Information Technology
09/02/2017 03:57,192.168.253.233,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466737.A48A994D,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:29,192.168.253.242,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466EA7.75276D9A,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC466D4B.EE5AE5AC,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:12,192.168.253.253,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4678B1.F64F28AE,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC46732A.3DDF1C8E,0,0,,,2,UNIX,,9,0,0,Information Technology
09/02/2017 05:00,192.168.253.254,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xDC4675D4.C1F753CA,,-5.261,0.369,0,,0.379,-1.063,,,10,-24,unknown,192.167.169.17,0xDC467075.39E639AD,60.242,41.115,0.013,4,2,UNIX,,,0,0,Information Technology
09/02/2017 03:26,192.168.254.1,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC465FD4.F851A585,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:39,192.168.254.5,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4662DC.05EF5714,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:15,192.168.254.9,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC465D4F.AFE4AEFF,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:00,192.168.254.13,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4667F0.B3CC506C,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:53,192.168.254.17,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC46662F.EB691FB3,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC464C38.9A41D2B9,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:09,192.168.254.18,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4669F6.25126B5C,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC466652.E6E8C4F4,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:57,192.168.254.37,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC46670C.2EDDB43A,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC464C38.9A41D2B9,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:03,192.168.254.46,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4668A8.8EF8B8A0,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC464A69.592A635D,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:45,192.168.254.49,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC468075.6F7957B8,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:35,192.168.254.54,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4661FF.46A2E032,,0,0,0,3,,0,,,,-20,unknown,192.167.169.17,0xDC4643FD.57A8DCF8,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:44,192.168.254.57,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC467216.B16E6136,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:43,192.168.254.61,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC467FFB.83E6F74E,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:09,192.168.254.73,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xDC4669E5.94FF27EC,,0,0,0,,0,0,,,10,-6,unknown,192.167.169.17,0xDC4667F8.0B2C8879,0,0,0,4,2,UNIX,,,0,0,Information Technology
09/02/2017 05:52,192.168.254.85,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC46821C.CDE71BBC,,0,0,0,3,,0,,,,-18,unknown,192.167.169.17,0xDC4680DA.78DC812F,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:24,192.168.254.89,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xDC466D66.F5BF74DC,,0,0,0,,0,0,,,10,-6,unknown,192.167.169.17,0xDC466BFA.0DC1F6FC,0,0,0,4,2,UNIX,,,0,0,Information Technology
09/02/2017 04:15,192.168.254.93,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466B5E.5EF50D02,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:53,192.168.254.109,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC468261.1FF3C14A,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC467DE5.BBF12F8A,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:09,192.168.254.113,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC4669E2.352A3DAF,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC464C38.9A41D2B9,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:46,192.168.254.121,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC46647C.07A4A320,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:46,192.168.254.125,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466471.C8CC6A66,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:40,192.168.254.129,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xDC46713B.6B6C5326,,0,0,0,,0,0,,,10,-6,unknown,192.167.169.17,0xDC466FFC.0FD19882,0,0,0,4,2,UNIX,,,0,0,Information Technology
09/02/2017 03:17,192.168.254.137,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC465DBD.0510EF55,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC464C38.9A41D2B9,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:22,192.168.254.138,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC465EF1.0103ACBC,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465421.8038BC55,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:25,192.168.254.174,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466DA0.1670BE7B,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC4657EC.FE3E9607,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:53,192.168.254.206,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466634.CE560650,,0,0,0,3,,0,,,,-10,unknown,192.167.169.17,0xDC4652C9.2F1AA040,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:17,192.168.254.213,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466BDA.F8E4FFEF,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:49,192.168.254.217,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC46817A.CBF52E98,,0,0,3,3,,0,,,,-21,unknown,INIT,0xDB8FEC58.5A6DFDDB,0,0,,,16,UNIX,,6,0,0,Information Technology
09/02/2017 04:53,192.168.254.237,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC467442.79B6958F,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:17,192.168.254.241,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xDC4679E1.30618204,,0,0,0,,0,0,,,10,-6,unknown,192.167.169.17,0xDC467900.59BA1D69,0,0,0,4,2,UNIX,,,0,0,Information Technology
09/02/2017 03:50,192.168.254.249,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC466576.4685E0BD,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 04:36,192.168.255.2,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC467037.D7F24BB1,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
