timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
09/02/2017 03:00,192.168.202.45,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,BATARI,BEC972,0,0,Information Technology
09/02/2017 03:14,192.168.204.202,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI693017,BEC973,0,0,Information Technology
09/02/2017 01:27,192.168.206.5,udp,922,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,DDU-1,BEC974,0,0,Information Technology
09/02/2017 01:54,192.168.207.11,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,UDCNPIA8229B,BEC975,0,0,Information Technology
09/02/2017 02:29,192.168.207.18,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NASJDUBROV,BEC976,0,0,Information Technology
09/02/2017 03:01,192.168.207.36,udp,137,,netbios,00-84-ED-9D-D6-1A,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,BH4050-9DD61A,BEC977,0,0,Information Technology
09/02/2017 03:26,192.168.207.57,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MACMASTER,BEC978,0,0,Information Technology
09/02/2017 02:49,192.168.207.93,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI5229C7,BEC979,0,0,Information Technology
09/02/2017 03:30,192.168.207.101,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,GPRSERVER,BEC980,0,0,Information Technology
09/02/2017 02:25,192.168.207.200,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MACMINI-BEF7BA,BEC981,0,0,Information Technology
09/02/2017 02:05,192.168.208.38,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,HELIOS,BEC982,0,0,Information Technology
09/02/2017 02:20,192.168.208.40,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MEXART,BEC983,0,0,Information Technology
09/02/2017 01:29,192.168.208.47,udp,137,,netbios,00-16-76-B6-97-7D,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,CASIOPEA,BEC984,0,0,Information Technology
