timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,gitversion,sysinfo,opensslversion,allocator,javascriptengine,bits,maxbsonobjectsize,ok,visible_databases,sector
09/02/2017 05:28,192.167.109.253,tcp,27017,,mongodb,2.6.11,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,nogitversion,Linux c1bk.rdu2.centos.org 2.6.32-573.8.1.el6.x86_64 #1 SMP Tue Nov 10 18:01:38 UTC 2015 x86_64 BOOST_LIB_VERSION=1_53,OpenSSL 1.0.1e-fips 11 Feb 2013,tcmalloc,V8,64,16777216,1,DB_H4CK3D | ceilometer | aodh,Information Technology
09/02/2017 05:19,192.167.159.240,tcp,27017,,mongodb,2.4.6,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,b9925db5eac369d77a3a5f5d98a145eaaacd9673,Linux ip-10-2-29-40 2.6.21.7-2.ec2.v1.2.fc8xen #1 SMP Fri Nov 20 17:48:28 EST 2009 x86_64 BOOST_LIB_VERSION=1_49,,tcmalloc,V8,64,16777216,1,none visible,Information Technology
09/02/2017 05:33,192.167.198.131,tcp,27017,,mongodb,2.6.2,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,4d06e27876697d67348a397955b46dabb8443827,Linux build10.nj1.10gen.cc 2.6.32-431.3.1.el6.x86_64 #1 SMP Fri Jan 3 21:39:27 UTC 2014 x86_64 BOOST_LIB_VERSION=1_49,,tcmalloc,V8,64,16777216,1,hndm_produccion | admin | hndmsg_desarrollo | hndm_desarrollo | hndm_migracion,Information Technology
