timestamp,ip,port,hostname,tag,handshake,asn,geo,region,city,rdp_protocol,cert_length,subject_common_name,issuer_common_name,cert_issue_date,cert_expiration_date,sha1_fingerprint,cert_serial_number,ssl_version,signature_algorithm,key_algorithm,sha256_fingerprint,sha512_fingerprint,md5_fingerprint,naics,sic,sector
09/02/2017 07:16,132.247.16.245,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Nov  3 22:26:44 2016 GMT,May  5 22:26:44 2017 GMT,1B:3D:37:6A:EE:97:19:A9:92:2A:3E:6B:EA:83:71:3E:18:30:E2:39,12B1BA2FD26B3AA046920BDCC2D57434,2,sha1WithRSAEncryption,rsaEncryption,B7:97:12:95:B9:ED:48:BF:AE:FE:CE:93:D1:5B:BF:0A:0A:1C:19:BB:18:1C:BC:F0:61:AF:FB:A5:6C:4D:2F:D0,88:7E:B3:8D:2D:47:AF:CE:E6:03:93:95:90:FE:0A:87:AC:7D:66:BE:DD:78:18:95:E7:7B:69:58:9D:6D:3D:C3:76:F6:7E:1B:DB:75:28:76:BB:B0:76:18:DF:BF:21:2A:3C:3F:73:D7:7C:A3:6F:EC:B9:DD:92:37:40:31:E9:E2,30:15:FF:6C:00:1C:6A:F8:E1:96:98:D0:43:9A:AD:78,0,0,Information Technology
09/02/2017 06:25,132.247.16.250,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Dec  9 22:37:59 2016 GMT,Jun 10 22:37:59 2017 GMT,BB:26:08:12:15:46:D2:9E:AA:68:32:E7:D1:00:DF:08:4E:02:3E:3B,28F35519420A30A649ACFB6E77C5036D,2,sha1WithRSAEncryption,rsaEncryption,A1:0D:2D:31:95:D0:2D:57:CA:22:90:88:F0:51:EE:17:18:A6:B4:E0:B5:A5:C7:09:7F:F0:8D:55:B8:B3:D9:A1,D3:4B:F7:14:38:27:F6:AD:59:85:5C:C3:AB:DB:21:8A:F8:7A:0A:4B:BC:18:E6:B0:B0:F5:2A:5F:53:1D:7B:D7:15:9A:D5:A6:B0:F0:36:17:80:93:F7:C5:C9:48:FF:D6:B7:94:38:8A:1F:CC:5C:17:6C:9C:F9:CA:3F:2B:67:B9,61:AB:31:B4:78:92:4B:07:2E:D2:38:FE:F6:8A:48:CF,0,0,Information Technology
09/02/2017 06:59,132.247.16.251,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Dec  9 22:37:59 2016 GMT,Jun 10 22:37:59 2017 GMT,BB:26:08:12:15:46:D2:9E:AA:68:32:E7:D1:00:DF:08:4E:02:3E:3B,28F35519420A30A649ACFB6E77C5036D,2,sha1WithRSAEncryption,rsaEncryption,A1:0D:2D:31:95:D0:2D:57:CA:22:90:88:F0:51:EE:17:18:A6:B4:E0:B5:A5:C7:09:7F:F0:8D:55:B8:B3:D9:A1,D3:4B:F7:14:38:27:F6:AD:59:85:5C:C3:AB:DB:21:8A:F8:7A:0A:4B:BC:18:E6:B0:B0:F5:2A:5F:53:1D:7B:D7:15:9A:D5:A6:B0:F0:36:17:80:93:F7:C5:C9:48:FF:D6:B7:94:38:8A:1F:CC:5C:17:6C:9C:F9:CA:3F:2B:67:B9,61:AB:31:B4:78:92:4B:07:2E:D2:38:FE:F6:8A:48:CF,0,0,Information Technology
09/02/2017 06:07,132.247.45.10,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Jan 15 19:06:39 2017 GMT,Jul 17 19:06:39 2017 GMT,DF:64:74:46:CE:72:87:15:43:28:50:FB:23:F3:EC:D0:4C:A5:0A:4F,369F5309A5857A994EE076BB77C1565C,2,sha1WithRSAEncryption,rsaEncryption,AF:6A:E4:2E:20:A0:3C:10:B9:01:3A:A4:F7:0A:04:9A:29:C4:93:5E:E7:43:63:24:F1:25:A6:F7:BA:31:85:97,2F:4C:89:1A:2F:A1:28:8E:27:5B:57:1A:8D:C3:2C:CD:77:B6:B4:43:69:EA:D5:44:78:4C:24:63:11:8D:95:36:02:25:48:10:F6:64:DB:61:24:19:04:77:D0:17:4F:F6:2B:D1:01:CA:7F:69:3D:91:E6:BF:24:1C:14:8F:40:AF,D6:A3:A2:01:E9:1B:8A:D3:29:BF:C5:81:2F:B6:80:9E,0,0,Information Technology
09/02/2017 06:16,132.247.70.12,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,CredSSP_Enforced,2048,,,Jan 10 01:15:22 2017 GMT,Jul 12 01:15:22 2017 GMT,0E:3D:3B:26:41:D5:10:0C:65:EB:1C:6E:D1:84:60:71:03:69:80:6B,11079BBDA0C184BB46EBFD886EBE60AD,2,sha1WithRSAEncryption,rsaEncryption,8F:B1:CC:78:A7:E8:18:AF:26:42:6C:BF:00:AC:97:C3:79:E8:ED:1C:82:A4:E3:A9:A4:84:69:C2:6E:14:F5:9E,C7:08:9E:DE:43:19:F5:00:10:F2:FD:A0:07:7C:12:AB:53:96:CD:4B:9B:9B:63:59:2E:3E:96:49:3A:37:95:00:93:AD:B2:11:92:EC:0E:4B:66:09:A5:8C:75:37:E6:A4:13:69:21:19:B0:EC:A5:8F:D2:73:2E:30:09:42:6E:34,A1:C0:C4:3C:D0:64:9C:49:D6:26:78:B9:71:FA:5C:0A,0,0,Information Technology
09/02/2017 06:54,132.247.70.87,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,CredSSP_Enforced,2048,,,Dec  6 20:23:55 2016 GMT,Jun  7 20:23:55 2017 GMT,A6:F8:FE:9F:9D:9A:BC:10:14:CE:83:85:11:87:A2:47:93:0E:9E:4C,1FA12C676868669549DF040FB1535856,2,sha1WithRSAEncryption,rsaEncryption,08:6B:D5:CE:56:25:1B:59:15:75:06:A2:2E:60:6B:00:21:81:1E:A6:CE:27:57:7D:7F:CA:5D:AD:BD:3E:39:35,30:49:35:CB:A0:19:4F:A1:9E:B8:F4:A1:A4:14:A0:A6:42:0E:97:E9:91:BA:F1:DD:FD:B5:37:53:6C:47:7C:69:55:93:53:50:07:2A:31:1F:37:B7:FD:AE:B4:FF:A3:FD:D9:56:45:EC:46:56:AD:7E:2A:40:F2:A4:CA:F0:E7:27,49:DA:EF:24:3B:13:8B:74:90:6F:28:88:10:B4:3B:44,0,0,Information Technology
09/02/2017 07:34,132.247.70.107,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Jan 26 11:03:19 2017 GMT,Jul 28 11:03:19 2017 GMT,EF:E2:D5:58:2A:DF:82:E6:2C:63:14:34:1F:49:6F:87:1B:58:9E:BE,3F8760D89534708D40F57060F174A124,2,sha1WithRSAEncryption,rsaEncryption,D3:DD:D2:83:D1:8D:D1:23:F8:95:E8:A2:CD:AB:EB:B4:72:0E:D5:12:9E:5C:97:A6:E4:64:05:2A:5E:ED:6E:F5,0A:15:53:40:EA:CD:50:F5:AD:F3:32:9E:04:8D:06:94:0B:8C:46:00:9D:BF:20:9A:D3:BA:2C:FA:BD:F6:5E:D4:95:28:8A:0C:40:3B:A0:FC:7A:DE:85:14:CC:A1:64:75:0C:88:75:94:9E:7C:A0:99:C7:A1:46:29:D6:89:41:8C,E7:B8:EA:9C:BF:D0:DC:8B:31:73:E4:5A:C8:54:02:5C,0,0,Information Technology
09/02/2017 07:10,132.247.70.123,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Oct 15 09:43:53 2016 GMT,Apr 16 09:43:53 2017 GMT,AD:B7:6B:66:59:A2:56:A8:3E:38:35:7B:78:21:0C:10:D7:80:F4:AA,4B44E4BE98A6CDBE41A4E8F4349C1297,2,sha1WithRSAEncryption,rsaEncryption,61:53:5B:AB:E2:DF:22:B5:74:2F:CD:6D:E2:94:42:5A:AF:3E:3A:76:8E:9C:18:C8:CE:21:E5:D8:E4:75:1D:EB,96:68:56:79:71:38:A7:25:99:73:86:D1:93:E7:32:9D:0A:49:E9:7F:25:2E:18:DD:5B:AD:4A:14:99:2F:79:CE:EB:8B:5E:DD:10:88:24:90:8E:13:A8:C1:C7:2B:8A:8C:F9:83:3E:D6:7D:EE:BF:B9:E3:5B:5E:64:9F:25:29:14,44:AE:B2:98:91:C4:ED:09:9E:72:71:F8:BD:7B:B2:41,0,0,Information Technology
09/02/2017 06:12,132.247.70.124,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Oct 28 21:30:05 2016 GMT,Apr 29 21:30:05 2017 GMT,D6:DD:FC:58:71:AC:A7:6F:3C:82:58:97:A8:D6:15:98:44:D6:98:1B,794D4255834ACFB14926CC993E75BF2B,2,sha1WithRSAEncryption,rsaEncryption,25:D3:1B:A9:A0:3B:B6:D9:D6:96:A4:FF:E4:AC:58:1F:85:F2:F1:9F:4A:7E:B6:21:BC:80:97:C4:75:EE:0A:70,3E:32:8F:C6:01:8F:4A:D4:B4:BC:20:E7:DD:A4:1F:57:BF:2A:34:85:BA:14:F3:6D:54:3C:5A:00:77:0A:AA:66:7A:47:2D:2F:02:C3:62:F3:AB:9B:EC:5C:A6:B7:36:9D:D7:1C:BF:B9:92:55:01:18:7F:04:B9:7A:99:46:EC:F6,B5:79:EB:F0:BC:82:7B:3E:5C:98:26:64:E8:33:19:B0,0,0,Information Technology
09/02/2017 06:04,132.247.70.126,3389,,rdp,,278,MX,DISTRITO FEDERAL,MEXICO CITY,RDP,2048,,,Oct 23 08:00:18 2016 GMT,Apr 24 08:00:18 2017 GMT,81:D8:A0:1E:AE:00:48:AD:AB:DD:77:0E:73:8D:4B:47:0D:9B:91:85,189AE8F9337FE2B64C5BF9A13C8B060C,2,sha1WithRSAEncryption,rsaEncryption,22:AE:FC:29:EE:DB:B8:32:79:FF:B0:5E:5B:71:33:E4:5B:C5:DD:5F:51:EF:B1:DB:2C:AB:CF:F1:18:EE:A0:BF,3E:42:8E:B1:CC:8A:3F:F7:74:3B:72:B0:BF:D6:D7:AE:BD:6E:E8:35:EE:52:B6:79:2A:D9:48:9A:52:44:FA:DD:AF:FA:92:65:CC:3C:8F:E9:E5:06:0E:A6:DA:00:B4:FB:B8:30:8B:50:C2:01:8E:AD:FF:8D:9A:F4:DC:F1:D5:76,5B:B6:21:5C:46:94:06:0E:7C:CD:F4:4F:61:AB:EE:CD,0,0,Information Technology
