timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,server_name,instance_name,tcp_port,named_pipe,response_length,amplification,sector
09/02/2017 07:50,10.108.86.121,udp,1434,,mssql,9.00.4035.00,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX24,VERITRAX,49196,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,324,7.2,Information Technology
09/02/2017 08:33,10.108.86.224,udp,1434,,mssql,10.50.2500.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX25,CNLEHF,1056,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,302,6.71,Information Technology
09/02/2017 07:52,10.108.87.76,udp,1434,,mssql,12.0.2000.8,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX26,SQLEXPRESS,50820,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,350,7.78,Information Technology
09/02/2017 07:48,10.108.103.3,udp,1434,,mssql,10.50.2500.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX27,CSSQL08,49284,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,214,4.76,Information Technology
09/02/2017 09:16,10.108.103.58,udp,1434,,mssql,12.0.4100.1,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX28,SQL_INVENTARIOS,49177,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,354,7.87,Information Technology
09/02/2017 09:19,10.108.103.134,udp,1434,,mssql,10.0.1600.22,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX29,SQLSERVER134,1372,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,346,7.69,Information Technology
09/02/2017 09:07,10.108.110.72,udp,1434,,mssql,10.0.1600.22,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX30,COMPAC,49837,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,304,6.76,Information Technology
09/02/2017 07:57,10.108.117.72,udp,1434,,mssql,10.50.2500.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX31,VEEAMSQL2008R2,52322,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,846,18.8,Information Technology
09/02/2017 08:26,10.108.136.99,udp,1434,,mssql,12.0.2000.8,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX32,MSSQLSERVER,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,272,6.04,Information Technology
09/02/2017 07:41,10.108.138.70,udp,1434,,mssql,10.50.6000.34,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX33,ACADEMIADB,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,324,7.2,Information Technology
09/02/2017 07:57,10.108.139.102,udp,1434,,mssql,10.50.4000.0,278,MX,DISTRITO FEDERAL,MEXICO CITY,0,0,CITRIX34,SQLEXPRESS,1433,\\WIN-PBSI11g\pipe\MSSQL$SQLEXPRESS\sql\query,228,5.07,Information Technology
